APOKALUNMATA	A)POKALU/MMATA
SUNPWNOUNTWN	SUMPWNOU/NTWN
SUNKLISANTES	SUGKLI/SANTES
SUNKEKLISMENOS	SUGKEKLISME/NOS
ANANKAION	A)NAGKAI=ON
ECELENCAI	E)CELE/GCAI
DIAPRATTWMENW	DIAPRASSWME/NW
BOTTOS	BO/SSOS
ARXANGELO	A)RXA/GGELO
NUMBER_0	I-number
KARR	KA/RS
NAUTTIKOU	NAUSSIKOU=
AGKURRE	A)/GKURSE
SANPER	SA/N
PARANGELIAS	PARAGGELI/AS
SUNXWRHSASA	SUGXWRH/SASA
ENKEFALOS	E)GKE/FALOS
SUSSTHSAS	SUSTH/SAS
ANANKAIWN	A)NAGKAI/WN
MUREYIN	MURE/YION
PROSANGELMATI	PROSAGGE/LMATI
BURRAN	BU/RSAN
HPER	H(
DIAISIN	DIAI/SION
SUNKLISWMEN	SUGKLI/SWMEN
ENKUKLIOU	E)GKUKLI/OU
DHMOSIN	DHMO/SION
HLATTOUMENOU	H)LASSOUME/NOU
DIENGUHMATOS	DIEGGUH/MATOS
ENBATIKOUS	E)MBATIKOU/S
SUNKURWNTA	SUGKURW=NTA
SUNPEFONHMENHN	SUMPEFONHME/NHN
ENGUOI	E)/GGUOI
SUNPARIMI	SUMPA/RIMI
SEBENNIN	SEBE/NNION
ONPERIFORON	O)MPERIFO/RON
ENKALESIN	E)GKA/LESIN
BORRIW	*BORSI/W
MANGANOIS	MAGGA/NOIS
ANKURAIS	A)GKU/RAIS
ALLHLENGUWN	A)LLHLEGGU/WN
OIKONOMIN	OI)KONOMI/ON
ANFOTERAI	A)MFO/TERAI
ENGOI	E)/GGOI
ANGIA	A)GGI/A
KATANGISATAI	KATAGGI/SATAI
SESHMANMENWN	SESHMAMME/NWN
PARESUNGRAFH	PARESUGGRA/FH
HTTO	*(HSSO/
ENKATALIYE	E)GKATA/LIYE
SUNGENOUS	SUGGENOU=S
PRINKIPOS	PRI/GKIPOS
ISANGELIAS	I)SAGGELI/AS
ENGISTA	E)/GGISTA
PREZBUTWN	PRESBUTW=N
