PEKUSIS	*PEKU=SIS
SENURIS	*SENU=RIS
KA	KA
ANTONINOU	A)NTONINOU=
PATSEOUS	*PATSEOU=S
XRIAN	XRI/AN
TESSARES	TE/SSARES
PRAKTWRWN	PRAKTW/RWN
GRAMATEWS	GRAMATE/WS
WROU	
PAOUS	
PETEAROUHRIS	*PETEAROUH=RIS
IS	I)/S
AFANO	
TRIS	TRI/S
YENAPAQOU	*YENAPA/QOU
ARPOXRATHS	*)ARPOXRA/THS
LAG	LAG
OQWNEIWN	*)OQWNEI/WN
SIDHREIN	SIDHREI=N
POHSIS	PO/HSIS
PEPRISMENH	PEPRISME/NH
FATRHS	*FATRH=S
YIAQA	
EPEI	
LAURAS	LAU/RAS
OMNUWI	O)MNU/W|
HMEIN	H(MEI=N
MHTHR	MHTH/R
EUDAIMONEIS	EU)DAIMONEI=S
OIDAS	OI)=DAS
UPETEQETO	U(PETE/QETO
UGEIOUS	U(GEIOU=S
MISQWSI	
AIGES	AI)=GES
TESSERA	TE/SSERA
XILEIWN	XILEIW=N
OFILW	*)OFI/LW
POIHSIN	POI/HSIN
OMOMOKA	O)MO/MOKA
TO	TO
HQEIS	H)/QEIS
ENA	
APOLLWNE	*)APO/LLWNE
MEIKRON	MEIKRO/N
KAN	
WN	WN
SWMATOFULAKWN	
TAUTA	
TOUTWN	
EG	EG
WNHI	W)NH=|
TIMIOTATW	TIMIOTA/TW
XRHSTOFORW	*XRHSTOFO/RW
PAFNOUQIS	*PAFNOU/QIOS
XEREIN	XEREI=N
PATHR	PATH/R
EINA	EI(=NA
ETHSHS	E)TH/SIOS
EIASIN	EI)A=SIN
APOKALUNMATA	A)POKALU/MMATA
MEGALW	MEGA/LW
PERIKIME	PERIKIME/
DINHS	DI/NHS
DEOME	DE/OME
KE	KE
IKA	I)=KA
EIKA	EI)=KA
ASPAZETE	A)SPA/ZETE
AUTW	
ERWSQE	E)RW=|SQE
EUXOME	EU)/XOME
AGAGWNTWN	A)GAGW/NTWN
SUNPWNOUNTWN	SUMPWNOU/NTWN
UGEIEIAN	U(GEI/EIAN
XRHSTIANOI	*XRHSTIANOI/
XW	XW=
ONTA	O)/NTA
SUNESXHKOTES	SUNESXHKO/TES
PROSHGOREIAN	PROSHGOREI/AN
ADELFOUS	A)DELFOU/S
PROKURISSOMENH	PROKURISSOME/NH
SUNHRIQMHTE	SUNHRIQMH=TE
SUNXRHSTOI	
